# curie_map:
#   gcdfo: "https://w3id.org/gcdfo/salmon#"
#   smn: "https://w3id.org/smn/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/gcdfo/salmon/mappings/gcdfo-to-smn"
# mapping_set_description: "Curated boundary mapping between the GC DFO Salmon Ontology (subject side, release 0.0.8 plus the 2026-08-13 S9 step-3 cleanup, repo dfo-pacific-science/dfo-salmon-ontology) and the shared Salmon Domain Ontology (object side, repo salmon-data-mobilization/salmon-domain-ontology at commit a5d4f284e859b4c878cbec5baa04d368ab1990d3). Every row is a reviewed editorial commitment grounded in smn's per-term migration provenance: terms smn migrated verbatim map skos:exactMatch; terms smn adapted (definition or scope changed) map skos:closeMatch; one cross-category concept-to-property link is skos:relatedMatch. Same-IRI MIREOT mirrors are identity, not mappings, and take no rows."
# license: "https://creativecommons.org/licenses/by/4.0/"
# mapping_set_version: "0.1.0"
# subject_source: "https://w3id.org/gcdfo/salmon"
# subject_source_version: "0.0.8+s9-step3 (release 0.0.8 commit c7a5425 plus the 2026-08-13 boundary cleanup)"
# object_source: "https://w3id.org/smn"
# object_source_version: "main commit a5d4f284e859b4c878cbec5baa04d368ab1990d3 (post-0.0.2; includes the 2026-08-13 methods-as-SKOS migration and the EscapementEstimate rename)"
# mapping_date: "2026-08-13"
# sssom_version: "1.1"
# see_also: "https://github.com/salmon-data-mobilization/metasalmon/blob/main/knowledge/plans/2026-08-12-ontology-alignment-pass.md"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	comment
gcdfo:AgeNotation	Age notation	skos:exactMatch	smn:AgeNotation	Age notation	semapv:ManualMappingCuration	2026-08-13	Migrated verbatim; smn iao:0000119 names this term.
gcdfo:GilbertRichAgeNotation	Gilbert-Rich age notation	skos:closeMatch	smn:GilbertRichAgeNotation	Gilbert-Rich age notation	semapv:ManualMappingCuration	2026-08-13	Adapted: smn reworded the definition during migration.
gcdfo:EuropeanAgeNotation	European age notation	skos:closeMatch	smn:EuropeanAgeNotation	European age notation	semapv:ManualMappingCuration	2026-08-13	Adapted: smn reworded the definition during migration.
gcdfo:AgeBasis	Age basis	skos:exactMatch	smn:AgeBasis	Age basis	semapv:ManualMappingCuration	2026-08-13	Migrated verbatim.
gcdfo:AgeAtReturnBasis	Age at return basis	skos:closeMatch	smn:AgeAtReturnBasis	Age at return basis	semapv:ManualMappingCuration	2026-08-13	Adapted definition.
gcdfo:AgeAtMaturityBasis	Age at maturity basis	skos:closeMatch	smn:AgeAtMaturityBasis	Age at maturity basis	semapv:ManualMappingCuration	2026-08-13	Adapted definition.
gcdfo:AgeAtSamplingBasis	Age at sampling basis	skos:closeMatch	smn:AgeAtSamplingBasis	Age at sampling basis	semapv:ManualMappingCuration	2026-08-13	Adapted definition.
gcdfo:AgeDimension	Age dimension	skos:exactMatch	smn:AgeDimension	Age dimension	semapv:ManualMappingCuration	2026-08-13	Migrated verbatim.
gcdfo:TotalAgeDimension	Total age dimension	skos:closeMatch	smn:TotalAgeDimension	Total age dimension	semapv:ManualMappingCuration	2026-08-13	Adapted definition.
gcdfo:FreshwaterAgeDimension	Freshwater age dimension	skos:closeMatch	smn:FreshwaterAgeDimension	Freshwater age dimension	semapv:ManualMappingCuration	2026-08-13	Adapted definition.
