term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Amber zone,"Amber status implies caution in the management of the Conservation Unit. While a CU in the Amber zone should be at a low risk of loss, there will be a degree of lost production. Decisions about the conservation of CUs in the Amber zone will involve broader consideration of biological, social, and economic issues. ",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#AmberZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AmberZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Benchmark Level Scheme,Controlled vocabulary for generic benchmark-level qualifiers usable as I-ADOPT constraint values attached to benchmark variables or values.,,,,,https://w3id.org/gcdfo/salmon#BenchmarkLevelScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BenchmarkLevelScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Biological Benchmark and Indicator Scheme,"Controlled vocabulary for key biological benchmarks, performance indicators, and reference points used in salmon stock assessment and management (e.g., SMSY, Sgen, spawner abundance).",,,,,https://w3id.org/gcdfo/salmon#BiologicalBenchmarkAndIndicatorScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BiologicalBenchmarkAndIndicatorScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Confidence category,"Categorical confidence rating (High, Medium, Low) for stock assessment metrics.",,,,Rapid status confidence scheme (inScheme) [https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme],https://w3id.org/gcdfo/salmon#ConfidenceCategory,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ConfidenceCategory,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Conservation Unit,"A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.",Canada's Policy for Conservation of Wild Pacific Salmon Glossary.,Canada's Policy for Conservation of Wild Pacific Salmon Glossary.,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/policy-politique-eng.html#glossary,Reporting or management stratum (subClassOf) [https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum],https://w3id.org/gcdfo/salmon#ConservationUnit,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ConservationUnit,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Conservation Unit of,Relates a Conservation Unit to the Stock Management Unit it belongs to.,,,,,https://w3id.org/gcdfo/salmon#conservationUnitOf,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#conservationUnitOf,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Deme,"A local interbreeding group of organisms within a species. In salmon, a deme typically corresponds to a spawning population at a specific site. Demes are the finest biological unit and make up populations.",,,,Organism (subClassOf) [http://rs.tdwg.org/dwc/terms/Organism],https://w3id.org/gcdfo/salmon#Deme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Deme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
deme of,Relates a deme to the population it belongs to.,,,,,https://w3id.org/gcdfo/salmon#demeOf,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#demeOf,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Green zone,"Social and economic considerations will tend to be the primary drivers for the management of Conservation Units in the Green zone, though ecosystem or other non-consumptive use values could also be considered.",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#GreenZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#GreenZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
has Conservation Unit,Relates a Stock Management Unit to one of its constituent Conservation Units.,,,,,https://w3id.org/gcdfo/salmon#hasConservationUnit,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#hasConservationUnit,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
has deme,Relates a population to one of its constituent demes.,,,,,https://w3id.org/gcdfo/salmon#hasDeme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#hasDeme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
has population,Relates a Conservation Unit to one of its constituent populations.,,,,,https://w3id.org/gcdfo/salmon#hasPopulation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#hasPopulation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
High confidence,Rapid status confidence category indicating that high-quality abundance metrics support the result.,,,,Rapid status confidence scheme (inScheme) [https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme],https://w3id.org/gcdfo/salmon#RapidStatusConfidenceHigh,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RapidStatusConfidenceHigh,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Low confidence,"Rapid status confidence category indicating limited supporting data (for example, derived from trend metrics alone).",,,,Rapid status confidence scheme (inScheme) [https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme],https://w3id.org/gcdfo/salmon#RapidStatusConfidenceLow,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RapidStatusConfidenceLow,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
Lower benchmark,"A lower-threshold benchmark value, typically delineating the boundary between Red and Amber status zones.",,,,Benchmark Level Scheme (inScheme) [https://w3id.org/gcdfo/salmon#BenchmarkLevelScheme],https://w3id.org/gcdfo/salmon#LowerBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#LowerBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,a8a24cb5d1ff74965143194515951a776d3928080721c40384dcb537fab5e801
