term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Assay,A lab assay or test applied to genetic samples.,,,,Protocol (subClassOf) [http://rs.tdwg.org/dwc/terms/Protocol],https://w3id.org/dfoc/salmon#Assay,https://w3id.org/dfoc/salmon/widoco/index.html#Assay,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Conservation Unit,"A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.",Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf.,Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf.,,Reporting or management stratum (subClassOf) [https://w3id.org/dfoc/salmon#ReportingOrManagementStratum],https://w3id.org/dfoc/salmon#ConservationUnit,https://w3id.org/dfoc/salmon/widoco/index.html#ConservationUnit,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Designatable Unit,"A unit of Canadian biodiversity that is discrete and evolutionarily significant, where discrete means that there is currently very little transmission of heritable (cultural or genetic) information from other such units, and evolutionarily significant means that the unit harbors heritable adaptive traits or an evolutionary history not found elsewhere in Canada.",COSEWIC. (2023). COSEWIC guidelines for recognizing designatable units. Available at https://cosewic.ca/index.php/en/reports/preparing-status-reports/guidelines-recognizing-designatable-units.html [Accessed 09-10-2025].,COSEWIC. (2023). COSEWIC guidelines for recognizing designatable units. Available at https://cosewic.ca/index.php/en/reports/preparing-status-reports/guidelines-recognizing-designatable-units.html [Accessed 09-10-2025].,,Reporting or management stratum (subClassOf) [https://w3id.org/dfoc/salmon#ReportingOrManagementStratum],https://w3id.org/dfoc/salmon#DesignatableUnit,https://w3id.org/dfoc/salmon/widoco/index.html#DesignatableUnit,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Genetic Sample,Tissue or material used in genetic stock identification or lab analyses.,,,,Material Entity (subClassOf) [http://rs.tdwg.org/dwc/terms/MaterialEntity],https://w3id.org/dfoc/salmon#GeneticSample,https://w3id.org/dfoc/salmon/widoco/index.html#GeneticSample,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
GSI Composition Measurement,Estimated proportion of individuals assigned to a reporting unit in a GSI run.,,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/dfoc/salmon#GSICompositionMeasurement,https://w3id.org/dfoc/salmon/widoco/index.html#GSICompositionMeasurement,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
GSI Run,"A computational run of GSI assignment (e.g., ONCOR, RUBIAS, BAYES) against a baseline.",,,,Event (subClassOf) [http://rs.tdwg.org/dwc/terms/Event],https://w3id.org/dfoc/salmon#GSIRun,https://w3id.org/dfoc/salmon/widoco/index.html#GSIRun,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Marker Panel,"A set of genetic markers (e.g., SNP panel) used for GSI.",,,,information content entity (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000030],https://w3id.org/dfoc/salmon#MarkerPanel,https://w3id.org/dfoc/salmon/widoco/index.html#MarkerPanel,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Reporting or management stratum,"An information-defined grouping of fish populations used for reporting, conservation assessment, or management purposes. Examples include Conservation Units (CUs), Stock Management Units (MUs), and Designatable Units (DUs).",,,,information content entity (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000030],https://w3id.org/dfoc/salmon#ReportingOrManagementStratum,https://w3id.org/dfoc/salmon/widoco/index.html#ReportingOrManagementStratum,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Reporting Unit,Genetic reporting unit (repunit) used in GSI outputs.,,,,Reporting or management stratum (subClassOf) [https://w3id.org/dfoc/salmon#ReportingOrManagementStratum],https://w3id.org/dfoc/salmon#ReportingUnit,https://w3id.org/dfoc/salmon/widoco/index.html#ReportingUnit,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
Stock Management Unit,A collection of stocks that are managed together with a joint stock status.,Fisheries and Oceans Canada. (2024). Introduction to Stock Assessment - Glossary. https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html. [Accessed 09-10-2025].,Fisheries and Oceans Canada. (2024). Introduction to Stock Assessment - Glossary. https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html. [Accessed 09-10-2025].,,Reporting or management stratum (subClassOf) [https://w3id.org/dfoc/salmon#ReportingOrManagementStratum],https://w3id.org/dfoc/salmon#StockManagementUnit,https://w3id.org/dfoc/salmon/widoco/index.html#StockManagementUnit,5865432c5b56e85c1c18aa8f818882954710c03b,2025-11-25T20:10:14.898446+00:00,091ab946535ecf3ede24e655ea41d0d397f5edd675a043e6eaf3d1e9577f1b0e
