column,value,count,proposed_term,proposed_scheme
ActiveInterventions_DataAdjustmentsType,Exclude estimated share of hatchery-origin fish,2,ExcludeEstimatedShareOfHatcheryOriginFish,:TypeScheme
ActiveInterventions_Flag,Spawning channel,1,SpawningChannel,:ActiveinterventionsFlagScheme
ActiveInterventions_General,Release of hatchery-origin juveniles,10,ReleaseOfHatcheryOriginJuveniles,:ActiveinterventionsGeneralScheme
ActiveInterventions_General,Spawning channel started operations in 1965,1,SpawningChannelStartedOperationsIn1965,:ActiveinterventionsGeneralScheme
AvgGen_Trends,Slight increase in age-at-maturity,3,SlightIncreaseInAgeAtMaturity,:AvggenTrendsScheme
AvgGen_Trends,Stable age composition,2,StableAgeComposition,:AvggenTrendsScheme
AvgGen_Trends,Highly Stable,1,HighlyStable,:AvggenTrendsScheme
AvgGen_Variability,Low,5,Low,:AvggenVariabilityScheme
AvgGen_Variability,Highly Stable,1,HighlyStable,:AvggenVariabilityScheme
AvgType,geomean,65,Geomean,:TypeScheme
DFORegion,Fraser,50,Fraser,:DforegionScheme
DFORegion,Yukon,12,Yukon,:DforegionScheme
DFORegion,Okanagan,2,Okanagan,:DforegionScheme
DFORegion,SouthCoast,1,Southcoast,:DforegionScheme
DataQualkIdx,Abs_Abd,46,AbsAbd,:DataqualkidxScheme
DataQualkIdx,Rel_Idx,16,RelIdx,:DataqualkidxScheme
DataUpdate_DFOLead,Fraser-BCI Sockeye Analytical Program,23,FraserBciSockeyeAnalyticalProgram,:DataupdateDfoleadScheme
DataUpdate_DFOLead,Fraser Chinook Coho Analytical Lead,10,FraserChinookCohoAnalyticalLead,:DataupdateDfoleadScheme
DataUpdate_DFOLead,Yukon Chinook Bio,2,YukonChinookBio,:DataupdateDfoleadScheme
DataUpdate_DFOLead,Fraser Chum Lead,1,FraserChumLead,:DataupdateDfoleadScheme
DataUpdate_ProcessType,Area staff generate annual update.,11,AreaStaffGenerateAnnualUpdate,:TypeScheme
DataUpdate_ProcessType,Area staff generate update,8,AreaStaffGenerateUpdate,:TypeScheme
DataUpdate_ProcessType,Rerun the Bayesian Model,7,RerunTheBayesianModel,:TypeScheme
DataUpdate_ProcessType,Compile survey results locally,2,CompileSurveyResultsLocally,:TypeScheme
Freshwater_Adaptive_Zone,MFR,14,Mfr,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,LFR,12,Lfr,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,STh,7,Sth,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,NTh,5,Nth,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,LILL,3,Lill,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,YukSlk,3,Yukslk,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,FRCany,2,Frcany,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,OK,2,Ok,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,BB,1,Bb,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,FRCany + LFR,1,FrcanyLfr,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,LFR + LILL,1,LfrLill,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,LTh,1,Lth,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,LTh + Nth,1,LthNth,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,STh + Nth + Lth + LFR + MFR + FRCany + LILL,1,SthNthLthLfrMfrFrcanyLill,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,UFR,1,Ufr,:FreshwaterAdaptiveZoneScheme
Freshwater_Adaptive_Zone,UFR + MFR,1,UfrMfr,:FreshwaterAdaptiveZoneScheme
LifeHistoryType_General,SEL,21,Sel,:TypeScheme
LifeHistoryType_General,CK,19,Ck,:TypeScheme
LifeHistoryType_General,Stream-type Chinook,12,StreamTypeChinook,:TypeScheme
LifeHistoryType_General,CO,7,Co,:TypeScheme
LifeHistoryType_General,CM,1,Cm,:TypeScheme
LifeHistoryType_General,Lake-type Sockeye,1,LakeTypeSockeye,:TypeScheme
LifeHistoryType_General,PKO,1,Pko,:TypeScheme
LifeHistoryType_General,RT,1,Rt,:TypeScheme
LifeHistory_DominantAgeClass,4sub2,1,V4sub2,:LifehistoryDominantageclassScheme
Location_Rearing_Type,Ocean,2,Ocean,:TypeScheme
Marine_Adaptive_Zone,GStr,51,Gstr,:MarineAdaptiveZoneScheme
Marine_Adaptive_Zone,Ber,12,Ber,:MarineAdaptiveZoneScheme
Marine_Adaptive_Zone,ORWA,2,Orwa,:MarineAdaptiveZoneScheme
RelAbd_AvgData,regular,65,Regular,:RelabdAvgdataScheme
RelBM_UsedFor,Status,37,Status,:RelbmUsedforScheme
RelBM_UsedFor,None Available,12,NoneAvailable,:RelbmUsedforScheme
RelBM_UsedFor,Reference Only,10,ReferenceOnly,:RelbmUsedforScheme
RelBM_UsedFor,None Available??,2,NoneAvailable,:RelbmUsedforScheme
RelBM_UsedFor,Not Assessed,1,NotAssessed,:RelbmUsedforScheme
RelBM_UsedFor,Not Used,1,NotUsed,:RelbmUsedforScheme
Rel_LowerBM_BasedOn,Spawner-Recruit,29,SpawnerRecruit,:RelLowerbmBasedonScheme
Rel_LowerBM_BasedOn,Watershed Area,9,WatershedArea,:RelLowerbmBasedonScheme
Rel_LowerBM_BasedOn,Watershed Area?,6,WatershedArea,:RelLowerbmBasedonScheme
Rel_LowerBM_BasedOn,Watershed Area; Spawner-Recruit,2,WatershedAreaSpawnerRecruit,:RelLowerbmBasedonScheme
Rel_LowerBM_BasedOn,Lake Productivity,1,LakeProductivity,:RelLowerbmBasedonScheme
Rel_LowerBM_BasedOn,Spawning Habitat Capacity,1,SpawningHabitatCapacity,:RelLowerbmBasedonScheme
Rel_LowerBM_Version,Sgen,32,Sgen,:RelLowerbmVersionScheme
Rel_LowerBM_Version,20pSmax,10,V20psmax,:RelLowerbmVersionScheme
Rel_LowerBM_Version,Sgen for Dominant Cycle,5,SgenForDominantCycle,:RelLowerbmVersionScheme
Rel_LowerBM_Version,Sgen?,1,Sgen,:RelLowerbmVersionScheme
Rel_UpperBM_BasedOn,Spawner-Recruit,29,SpawnerRecruit,:RelUpperbmBasedonScheme
Rel_UpperBM_BasedOn,Watershed Area?,6,WatershedArea,:RelUpperbmBasedonScheme
Rel_UpperBM_BasedOn,Watershed Area,4,WatershedArea,:RelUpperbmBasedonScheme
Rel_UpperBM_BasedOn,Watershed Area; Spawner-Recruit,2,WatershedAreaSpawnerRecruit,:RelUpperbmBasedonScheme
Rel_UpperBM_BasedOn,Lake Productivity,1,LakeProductivity,:RelUpperbmBasedonScheme
Rel_UpperBM_BasedOn,Spawning habitat capacity,1,SpawningHabitatCapacity,:RelUpperbmBasedonScheme
Rel_UpperBM_MethodNotes,Same as lower benchmark,38,SameAsLowerBenchmark,:MethodScheme
Rel_UpperBM_MethodNotes,Same as lower BM,17,SameAsLowerBm,:MethodScheme
Rel_UpperBM_MethodNotes,No available data for estimating rel abd BMs,4,NoAvailableDataForEstimatingRelAbdBms,:MethodScheme
Rel_UpperBM_Version,80pSmsy,16,V80psmsy,:RelUpperbmVersionScheme
Rel_UpperBM_Version,85pSmsy,13,V85psmsy,:RelUpperbmVersionScheme
Rel_UpperBM_Version,40pSmax,8,V40psmax,:RelUpperbmVersionScheme
Rel_UpperBM_Version,80pSmsy for Dominant Cycle,5,V80psmsyForDominantCycle,:RelUpperbmVersionScheme
Rel_UpperBM_Version,80pSmsy?,1,V80psmsy,:RelUpperbmVersionScheme
Rel_UpperBM_VersionRationale,Same as lower benchmark,25,SameAsLowerBenchmark,:RelUpperbmVersionrationaleScheme
Rel_UpperBM_VersionRationale,Same as lower BM,11,SameAsLowerBm,:RelUpperbmVersionrationaleScheme
Rel_UpperBM_VersionRationale,Used default benchmark when appropriate SR model fits available.,6,UsedDefaultBenchmarkWhenAppropriateSrModelFitsAvailable,:RelUpperbmVersionrationaleScheme
Rel_UpperBM_VersionRationale,Used 85p of Smsy for consistency with other Chinook status assessments.,5,Used85pOfSmsyForConsistencyWithOtherChinookStatusAssessments,:RelUpperbmVersionrationaleScheme
Site_Adj_General,Sites that don't meet site-level data standards,6,SitesThatDonTMeetSiteLevelDataStandards,:SiteAdjGeneralScheme
Site_Adj_General,Sites that don't meet site-level data standards and sites with high enhancement classification were excluded.,2,SitesThatDonTMeetSiteLevelDataStandardsAndSitesWithHighEnhancementClassificationWereExcluded,:SiteAdjGeneralScheme
Site_Adj_General,Sites that don't meet site-level data standards were excluded.,2,SitesThatDonTMeetSiteLevelDataStandardsWereExcluded,:SiteAdjGeneralScheme
Site_Adj_General,Any low quality sites excluded????,1,AnyLowQualitySitesExcluded,:SiteAdjGeneralScheme
Site_Adj_General,Site selection,1,SiteSelection,:SiteAdjGeneralScheme
Site_Adj_General,Site selection; infilling,1,SiteSelectionInfilling,:SiteAdjGeneralScheme
Site_Records_Source_General,DFO,22,Dfo,:SourceScheme
Site_Records_Source_General,Okanagan Nation Alliance,1,OkanaganNationAlliance,:SourceScheme
Species,Chinook,32,Chinook,:SpeciesScheme
Species,Sockeye,25,Sockeye,:SpeciesScheme
Species,Coho,7,Coho,:SpeciesScheme
Species,Chum,1,Chum,:SpeciesScheme
Species,Pink,1,Pink,:SpeciesScheme
Spn_Coverage_QualAbd,Any guesses?,1,AnyGuesses,:SpnCoverageQualabdScheme
Spn_Coverage_QualAbd,Estimates don't cover full CU; but expert consensus that total spawner abundance consistently well below 1500.,1,EstimatesDonTCoverFullCuButExpertConsensusThatTotalSpawnerAbundanceConsistentlyWellBelow1500,:SpnCoverageQualabdScheme
Spn_Coverage_QualAbd,Expert consensus that Nahatlatch accounts for almost all the spawners.,1,ExpertConsensusThatNahatlatchAccountsForAlmostAllTheSpawners,:SpnCoverageQualabdScheme
Spn_EstSource_General,DFO Fraser-BCI Stock Assessment Sockeye Analytical staff,20,DfoFraserBciStockAssessmentSockeyeAnalyticalStaff,:SourceScheme
Spn_EstSource_General,DFO Area StAD,16,DfoAreaStad,:SourceScheme
Spn_EstSource_General,DFO Science,7,DfoScience,:SourceScheme
Spn_EstSource_General,Okanagan Nation Alliance,1,OkanaganNationAlliance,:SourceScheme
Spn_EstSource_General,Pacific Salmon Commission,1,PacificSalmonCommission,:SourceScheme
Spn_EstUnc_Type,Bayesian Posterior,7,BayesianPosterior,:TypeScheme
Spn_EstUnc_Type,Assumed CV,2,AssumedCv,:TypeScheme
